,0,text,2,toxic
1396,facebook_corpus_msr_1646787,"China bans Muslim names like ‘Saddam’, ‘Jihad’ for newborns in restive Xinjiang",NAG,0
1397,facebook_corpus_msr_325795,"This seems truly surgical

Indians forces can now teach this in basic training syllabus to their soldiers",NAG,0
1399,facebook_corpus_msr_1614069,Superb movie,NAG,0
1401,facebook_corpus_msr_399795,"SHAME UPON INDIAN INTELLIGENCE 
ENEMY ARMY ENTERED OUR TERRITORY 250 INSIDE AND THEY DIDN'T COME TO KNOW 
BIG SHAME AND FAILURE IB INTELLIGENCE",NAG,0
1402,facebook_corpus_msr_412656,"Hi , Sir Can We expect Expiry to be arnd 9400....",NAG,0
1405,facebook_corpus_msr_439178,Your humility Sundar... Just amazing.. I am pretty sure that's the quality driving you to newer heights every day. I haven't seen much leaders who genuinely believe and demonstrate ToT (trust on team) stuff.,NAG,0
1409,facebook_corpus_msr_1736992,"No issues  😊

I am not baised  nor will I 
I have not chained  myself with strong  conviction.",NAG,0
1415,facebook_corpus_msr_418972,CBN is the best visionary true leader to save us from the looters and cheaters from politics. HE is the great visionary true leader in India,NAG,0
1417,facebook_corpus_msr_334192,Shruti Another task for u...make this and bring some for me ;),NAG,0
1418,facebook_corpus_msr_497776,Please I need ur email id to coMplain Piyush ji,NAG,0
1420,facebook_corpus_msr_426209,Current infra plans may not be enough to meet challenges over a generation: Kapil Kaul,NAG,0
1421,facebook_corpus_msr_1876669,Fantastic 😍 !!,NAG,0
1423,facebook_corpus_msr_464726,"final product is happiness , so winny do not search happiness in various form ...make it simple .....Rest in peace --Sir winston churchill ---> born1874 -died1965<------",NAG,0
1428,facebook_corpus_msr_410533,I m so sad ki rahul hr gye.. ye up ke logo ne bhut galt kiya..,NAG,0
1430,facebook_corpus_msr_1521776,Beef and pork are tasty. Il let you know how an Infant tastes like.,NAG,0
1432,facebook_corpus_msr_483437,"I think this is a good move, need some one from outside the group...",NAG,0
1433,facebook_corpus_msr_1614006,Bahuballi is torn between his love of his foster mother and his love,NAG,0
1436,facebook_corpus_msr_502856,"Sir , what is ur first work to b done as a   hrd minister?",NAG,0
1438,facebook_corpus_msr_495389,it's strange people start to comparing 2 different sectors without any reason instead of congratulating them,NAG,0
1440,facebook_corpus_msr_421680,try something on high interest rates of the govt. banks. .  as small business will grow more.,NAG,0
1441,facebook_corpus_msr_1805594,Yes he is Wright not to join AAP,NAG,0
1443,facebook_corpus_msr_418816,#LIVE | NSE से #PehlaKadam season 2 Grand Finale,NAG,0
1444,facebook_corpus_msr_411718,"Talking to companies, govt on making economical generic drugs available to patients: IMA President",NAG,0
1452,facebook_corpus_msr_1985372,"Nice pick
sir",NAG,0
1454,facebook_corpus_msr_426287,Will start offering tariff plans starting April 1: Mukesh Ambani,NAG,0
1456,facebook_corpus_msr_430303,if you address this question to mr mitesh on power companies like ptc,NAG,0
1457,facebook_corpus_msr_452233,ppl are appreciating comments more than a bike whaaa :-D,NAG,0
1460,facebook_corpus_msr_2199127,"Here Azam Khan is pointing it out Modi's 'Dog' attack on Congress and not of his own. Being a Prime Minister of India , and keeping up the respect of the Chair he is holding, he should not go so cheap in the public. Never before any PM went to this level of low. It's OK as Road side Politician, but not as a PM of the country. Peeping into the bath room, using low level words, what kind of culture we are promoting? Please note here I am nit endorsing Azam Khan.",NAG,0
1462,facebook_corpus_msr_426365,"No one has hearts like you in the world.you Jio always 
In my country.you are the power of India.",NAG,0
1464,facebook_corpus_msr_332261,"What you should know about Turkey's President, Recap Tayyip Erdogan:

The Turkish economy between 2002 and 2012 caused a growth of 64% in real GDP and a 43% increase in GDP per capita.

Erdoğan inherited a debt of $23.5 billion to the IMF, which was reduced to $0.9 billion in 2012. He decided not to sign a new deal. Turkey's debt to the IMF was thus declared to be completely paid and he announced that the IMF could borrow from Turkey.

In 2010, five-year credit default swaps for Turkey's sovereign debt were trading at a record low of 1.17%, below those of nine EU member countries and Russia.

In 2002, the Turkish Central Bank had $26.5 billion in reserves. This amount reached $92.2 billion in 2011. During Erdoğan's leadership. Inflation fell from 32% to 9.0% in 2004.

Under Erdoğan's government, the number of airports in Turkey increased from 26 to 50.

Between 2002 and 2011, another 13500 km of expressway were built.

For the first time in Turkish history, high speed railway lines were constructed, and the country's high-speed train service began in 2009. In 8 years, 1076 km of railway were built and 5449 km of railway renewed.

Erdogan put greater investments into the healthcare system than any predecessor. As part of the reforms, the ""Green Card"" program, which provides free health benefits to the poor.

Erdoğan increased Education spending from 7.5 billion lira in 2002 to 34 billion lira in 2011, the highest share of the national budget given to one ministry and number of universities in Turkey nearly doubled, from 98 in 2002 to 186 in October 2012.

In 1996 1$=222 Lira and in 2016 1$=2.94 Lira, even after the recent turmoil.",NAG,0
1466,facebook_corpus_msr_326314,Present government is incapable of taking any action against our enemies,NAG,0
1467,facebook_corpus_msr_465510,It is a  passing  phase.  Have  patience.,NAG,0
1470,facebook_corpus_msr_1737170,nice one!! well said!!,NAG,0
1473,facebook_corpus_msr_1939489,You call this good looks?? Madhubala will commit suicide hearing this!!!,NAG,0
1474,facebook_corpus_msr_461526,Just asking... Do you as in research houses get fees to cover and research a particular company like in case of credit rating agencies getting it from corporate,NAG,0
1475,facebook_corpus_msr_495431,"Its really good to appreciate and giving that much amount by the government and various other supporters to these winners but we should not forget to encourage and support financially for all those participants specially at the time of training so that we can hope for more medals, not just to satisfy for one or two.....",NAG,0
1476,facebook_corpus_msr_506636,"It's time now ..that Central Banks, International organizations, g20, United Nations , Inter-American Development Bank, European Commission, European Central Bank, International Monetary Fund , International Finance Corporation should start to adopt a New Politic , coordinate their operations and act together with all worldwide Heads of State .. please take a look : 
http://economicsandpolicy.blogspot.it/2013/03/what-europe-should-do.html",NAG,0
1478,facebook_corpus_msr_483658,Do u any inflection point comming in the field of cyber security?,NAG,0
1479,facebook_corpus_msr_416652,"Your problem can,be solved anytime, anywhere within 24 hours by bharo sidhi pt.jk jyotishi +91-8968848458 sp.in love marriage, sotandur, dusman chutkara, gharkalesh,nokri,videsh yatra,factory, shop, losses,,helth,childless,all kind of problems",NAG,0
1481,facebook_corpus_msr_1804960,Is it a fault that Anna Hazare has acknowledged some of the achievements of Modi. Those who are opposed to the BJP ideologies are supporting the other parties. Do anyone think that Kejriwal is having the right approach to the centre. The massive mandate he got in Delhi was taken for granted by him to abuse others. Is this attitude good for a person like Kejriwal. It is absurd to think that what he says is unquestionable and what he does is right. In my opinion his popularity is showing a downward momentum. Can anyone who is inclined to AAP  show a single political party in India which is having foolproof credentials.,NAG,0
1483,facebook_corpus_msr_439604,Competition is tough bcz necessary goods are being costlier but luxury goods are being cheaper..,NAG,0
1484,facebook_corpus_msr_426312,there are no coverage other than CNBC?  its looks like as arranged function for the publicity Purpose only.,NAG,0
1485,facebook_corpus_msr_328838,What do you want to prove by saying bahubali beats tom hanks.....!!,NAG,0
1486,facebook_corpus_msr_1728889,Suresh Sir please look in to aircon not facilitating properly sometimes needs to travel with fan cooling,NAG,0
1491,facebook_corpus_msr_490147,You 18 grp work hard when your 18 grp share work hard for investors,NAG,0
1492,facebook_corpus_msr_399712,Now Randia will seek What is the Real Surgical Strike,NAG,0
1496,facebook_corpus_msr_2111167,Sensible (Y),NAG,0
1498,facebook_corpus_msr_491055,How good if us fed rate hike for India ?,NAG,0
1502,facebook_corpus_msr_2203242,Romeos need to be tackled regardless of their religion,NAG,0
1505,facebook_corpus_msr_421306,Anuj how was you Goa trip did u played the poker?,NAG,0
1509,facebook_corpus_msr_349848,"congress were pat to ruffian's also before so that had to loss life TO late smt. Indra Gandhi,Rajiv Gandhi.Beant Singh.BJP Started to 'swachh bharat abiyaan'together pakistan .may be ,it will be finish before election either 2020.",NAG,0
1513,facebook_corpus_msr_470180,"Totally improper management to make suffer the economy in total,whom to blame for sudden down fall of smooth economy,irrepairable correction.",NAG,0
1515,facebook_corpus_msr_422245,Up elections  was expected  any how for bjp,NAG,0
1516,facebook_corpus_msr_495585,How much the govt is going to deduct as tax is a big question mark. 😃,NAG,0
1521,facebook_corpus_msr_462745,"Jayalalitha ji connect with citizens, concern of welfare of the poor ,the woman with powerful personality will always be in our memories.
""MAY HER SOUL REST IN PEACE""😓😢😭

Very emotional video",NAG,0
1523,facebook_corpus_msr_334535,Really Kumar   Vishwas eserve post of C.M of Delhi than kejri as Viswas is little polite man!,NAG,0
1527,facebook_corpus_msr_331203,So much sympathy towards thieves...find no difference between sympathisers and thieves...bcoz sympathisers are by nature communal and want others to be secular with then...,NAG,0
1529,facebook_corpus_msr_2280059,I'm glad they are highlighting the fact that other countries also have restrictions on their borders.,NAG,0
1531,facebook_corpus_msr_442475,CONSUMPTION DEPENDS ON THE HUNGER AND FIRE....FROM PANI PURI TO BHEL PURI TO OM PURI  TO PURI JAGANATHAR TEMPLE ......,NAG,0
1532,facebook_corpus_msr_327828,"Pakistan Army did not commit any ceasefire violation on line of control or a BAT action in Buttal sector (  Indian Krishna Ghatti Sector )as alleged by India. Indian blame of mutilating Indian soldiers' bodies are also false. 
Pakistan Army is a highly professional force and shall never disrespect a soldier even Indian.(ISPR)",NAG,0
1534,facebook_corpus_msr_439763,Food price includes all kind of expenses and profit of the owner. So why to pay service charge forcefully ? Payment of Service Charge is like paying for jet fuel additional for air journey.,NAG,0
1536,facebook_corpus_msr_1775194,People of Karnataka are highly qualified and educated they have rejected Jumlas & Chosen Development in By-Polls Verdict.they knew well what has to be done..,NAG,0
1537,facebook_corpus_msr_1692692,opinion poll is banned.,NAG,0
1539,facebook_corpus_msr_451861,"go for enfield, bajaj is good for chetak, i am looking for old bajaj chetak",NAG,0
1547,facebook_corpus_msr_1907034,And you can report post. If you don't like,NAG,0
1549,facebook_corpus_msr_395558,Group of anti  Modi politicians can not find a better choice?????,NAG,0
1550,facebook_corpus_msr_469991,Anuj I think trump event has already made the bottom and we may see tomorrow recovery in mkt,NAG,0
1552,facebook_corpus_msr_503219,Employment opportunities for youth is there in these plan ah,NAG,0
1556,facebook_corpus_msr_505753,"i cant figure out india thinking of food as a business since independence excluding "" green revolution "" !",NAG,0
1557,facebook_corpus_msr_490973,Mary is as good as sachin tendulkar for our bharat,NAG,0
1559,facebook_corpus_msr_482182,"But ever may be there on the AOA, what ever happened shouldn't have happened, if it had to then not in such a bad shape, had damaged the TATA's Image globally, which is on the list of the world's top 5 most trusted and ethical brands.
#Maam you look beautiful, just simply smile some day.",NAG,0
1565,facebook_corpus_msr_2041573,Hru isha,NAG,0
1566,facebook_corpus_msr_412831,I can also say this it's a natural habit of human. Your thought is very motivational. I am inspired.,NAG,0
1567,facebook_corpus_msr_470852,Why am i watching this ..cuz tht reporter is cute 😂😂,NAG,0
1569,facebook_corpus_msr_1736977,Yeah u wish!😂,NAG,0
1570,facebook_corpus_msr_1563621,Tyler Brown  amen,NAG,0
1571,facebook_corpus_msr_1610604,Tiwari also expressed grief over the death of a person in a fire that broke out in a slum cluster in south Delhi's Malviya Nagar area.,NAG,0
1574,facebook_corpus_msr_2111404,Love you haters,NAG,0
1576,facebook_corpus_msr_472875,It is only to divert the attention of people from their failure to get black money from foreign banks and distribute among common people by putting in their accounts Rs.15 laks.,NAG,0
1580,facebook_corpus_msr_1525110,He is the same general who is proposing the increase in number of army welfare schools and youth skill development programs funded and operated by India army,NAG,0
1585,facebook_corpus_msr_464047,Legitimate holding of jewellery upto any extent is fully protected,NAG,0
1588,facebook_corpus_msr_325750,"Yeah...
I know your Ammi uses way too many of them...!!!",NAG,0
1590,facebook_corpus_msr_233683,Govt gives security to Netas..Our Jawans need it too..They are our true VVVIPs..Why don't give them Z+++ security?,NAG,0
1593,facebook_corpus_msr_423049,Market  going to blast on 13th 14th  March.. .stay away from short..,NAG,0
1594,facebook_corpus_msr_2041574,"I really like like kangana, whether it's her personal life or professional she is so true n straight forward n doesn't act like a hypocrite . At least someone dare to show Karen Johar his actual face in the mirror.. And c stands for her own not taking support of anyone.. not fearing anyone. I just love her",NAG,0
1596,facebook_corpus_msr_483435,It's good that Mr Ratan tata ji is back to action. See no one can match him as he is the best in his own.,NAG,0
1597,facebook_corpus_msr_419550,who pays u to analyze noise on daily basis ?,NAG,0
1598,facebook_corpus_msr_323723,Two unwanted source of feedback nowadays : media and Twitter...And the second one should start minding its own business,NAG,0
1599,facebook_corpus_msr_349900,But congress created cancer in the system that this chest first to be made healthy .,NAG,0
1601,facebook_corpus_msr_1805414,Wrong,NAG,0
1605,facebook_corpus_msr_470614,love and involvement  in business is a fine work of craft men ship--> andre,NAG,0
1606,facebook_corpus_msr_488673,"Table Talk ""The Secret of Trading Forex"" bersama Fund Manager Academy. Mau tau Cara Profit Secara KONSISTEN dan KONTINIU Selama 7 Tahun ?. Tanya saya Caranya. Chat me at my WhatsApp Number +6281329471444 Segera !!!",NAG,0
1608,facebook_corpus_msr_461574,she truly was a great politician.....no one could become like her.....hats off to her personality tht she created among peoples for her state,NAG,0
1609,facebook_corpus_msr_470611,my simple question is what happens if people hold 100 and 50 denomination ....it is better for government to change all currency,NAG,0
1616,facebook_corpus_msr_466008,"Why should our Pm decrease all the rates of daily needs viz. Petrol, gas, food commodities etc so that every one will live with some hundreds as he desires .",NAG,0
1617,facebook_corpus_msr_425054,Bought Dr. Reddy's at 2900. Should I buy more? Long term?,NAG,0
1618,facebook_corpus_msr_495715,PV Sindhi got 25 lacs more from m.p govt credits Shivraj Singh Chouhan ji,NAG,0
1620,facebook_corpus_msr_463485,Anyways black money ppl poses all the skills continue their play,NAG,0
1622,facebook_corpus_msr_331431,Middle East is very far from you cannot reach first see in the home bro,NAG,0
1623,facebook_corpus_msr_406166,"🍺 Bot😨 Powered🐷 By😍 Prince😼 Fadii

🏨 See My Bot Speed 😽 India TV
♥ c h α υ δ h r ψ s 🌹 β ο τ τ ε r ♥
🏢 Saturday : 29 - April - 2017
🏨  Like Back♥ India TV
🏥 comment Late  59 detik :)
 🏪 Auto Comment By   Prince Fadii
 🏯 🔎 Baby-Bot.tk 💡",NAG,0
1625,facebook_corpus_msr_413446,This channel is completely sold out to BJP. Beleive me.,NAG,0
1627,facebook_corpus_msr_326716,Hats off to her...this is called women power...I am proud of to be a woman,NAG,0
1628,facebook_corpus_msr_414193,"Red beacons will be done away with for VIPs from May 1, 2017: FM",NAG,0
1629,facebook_corpus_msr_411599,Should it post good results since Federal gave good results..south based bank,NAG,0
1630,facebook_corpus_msr_502333,isuzu advised to visit indian roads before the launch --,NAG,0
1631,facebook_corpus_msr_1827824,I'm a vegan.,NAG,0
1632,facebook_corpus_msr_1737081,It means that AAP will change modi bashing tactics to different politics as they lossing one by one elections . SImple politicshere,NAG,0
1635,facebook_corpus_msr_1805337,Nope - he has no right question AK,NAG,0
1636,facebook_corpus_msr_414220,"I would like to mention here that about a month ago, I bought a car Vitara Breeza ZDI from One-up Motors (Maruti Suzuki), Alambagh, Lucknow – 226005, having Vehicle Registration No. UP 32 HQ 5615.

The very next days after delivery of the car, I noticed some cloudy parts and bubbles on the driver and co-driver door of the car. then I spoke to the car dealership about the problem they notice the problem and send my car to their Maruti Suzuki Authorised service station on 02-01-2017 for fixing the problem.

After 15 days, the same problem was reoccurred. When I took my car to the Dealer (One-up Motors (Maruti Suzuki), Alambagh, Lucknow – 226005) they again sent it to service station for rectification of the problems and delivered the car to me after two days.

The same problem has again been noticed on 13-02-2017. After just 20 days  again i.e. 24-02-17 the same problem has been noticed on the entire body of the car.

When I visit again the authorised service station of the dealership they refused to resolve the problem and misbehaved with me.

Today i.e. On 23.03.2017 My car is still under repair with Oneup Moters Arambagh from last 20 days.

I brought the car for use my old parents and not to send it repeatedly to the service station for repairs or fixing problems. My father is suffering from heart ❤ problems. As you know it is very difficult to senior citizens or to repeatedly visit the service station.",NAG,0
1639,facebook_corpus_msr_373456,Seema pe jawan mr rahe he ye bahubali dekh rahe he,NAG,0
1641,facebook_corpus_msr_455970,Its not good signs....Webcast crashed...CNBC tvs 18 webcast playing like cat and mouse...awefull songs,NAG,0
1650,facebook_corpus_msr_1521702,You  said it,NAG,0
1653,facebook_corpus_msr_1907057,Very good,NAG,0
1656,facebook_corpus_msr_470014,plz provide how much loss the country had to incur in the same tenure in all sectors.,NAG,0
1659,facebook_corpus_msr_1521796,"BJP should be focusing on illegal abattoirs in every hook and corner of the state and the illegal disposal of waste from slaughter houses into river bodies, wetlands, fields near roads which are causing health hazards to the people",NAG,0
1664,facebook_corpus_msr_443361,"Nigel one of either of my quarries
Abfrl
Future consumer
R-power 
Nmdc
Guj nre. Coke",NAG,0
1666,facebook_corpus_msr_1829047,"Tenzin Gyatso has visited Arunachal Pradesh in 1983, 1996, 1997 and twice in 2003—which, put together, gives excellent reason to wonder why Beijing should claim this particular tour has hurt its “core interests”.",NAG,0
1667,facebook_corpus_msr_487638,whether Q2 expected to be good for bank stocks  Q2 result start from South indian bank tomorrow,NAG,0
1668,facebook_corpus_msr_397456,"""PAKISTANAN'S"" are not crul like your government.and jannat is only for humbl and for right person.",NAG,0
1670,facebook_corpus_msr_424795,What about car sales data will impact on market tomorrow..,NAG,0
1671,facebook_corpus_msr_1805757,"I am too 
;)
He didn't joined",NAG,0
1679,facebook_corpus_msr_420715,he will be good administrator as well as a tough guy too.. he didnt win 5 times elction just on the basis of saffron dress..,NAG,0
1683,facebook_corpus_msr_438457,saw a news about long term capital gain period increased to 3 Years from 1 year. what's your view?,NAG,0
1688,facebook_corpus_msr_1854947,Thanks,NAG,0
1690,facebook_corpus_msr_420659,bjp has massive support of people but agenda wasnt clear,NAG,0
1691,facebook_corpus_msr_327978,He is on the list of 2017 most corrupted leader. Google it,NAG,0
1695,facebook_corpus_msr_395551,"There's no other cadidate for President, why opposition isn't proposing Laloo for President, or Mulayam or Mayawati, or Didi for president they are much better cadidates.",NAG,0
1696,facebook_corpus_msr_423186,"This is called "" The Beauty and the Beast "". Kudos TATA. Proud to have in India.",NAG,0
1701,facebook_corpus_msr_418661,"For tyre stocks,incase anti dumping duty does not come...will it see heavy correction ...or rubber prices correcting will set off",NAG,0
1707,facebook_corpus_msr_487649,whether Q2 expected to be good for bank stocks Q2 result start from South indian bank tomorrow,NAG,0
1708,facebook_corpus_msr_332755,Cancel the driving license of both drivers & impose monetary fine.,NAG,0
1709,facebook_corpus_msr_1994435,Mrng,NAG,0
1722,facebook_corpus_msr_416330,"Sir. As depression is commonly used term for even a small amount of sadness, can you please elaborate on the difference between Sadness and depression..",NAG,0
1726,facebook_corpus_msr_431164,I love u Mr. Modi ...... Proud to be Indian .... One more reason that  I belong to the country where Mr. Naarendra Modi is the Prime Minister....,NAG,0
1727,facebook_corpus_msr_1833382,Is gau raksha have the law to kill any accused or innocent in name of cow in which the law is not inposed to the government forcess,NAG,0
1728,facebook_corpus_msr_2111398,India does not need fake secularism and pseudo seculars.,NAG,0
1732,facebook_corpus_msr_1854944,I miss you darling,NAG,0
1735,facebook_corpus_msr_405257,WHAT ELSE CAN A POOR CHAP DO? A HEN-CHICK DOES NOT HAVE ANY CHOICE IN FRONT OF A CAT BUT TO .. .,NAG,0
1737,facebook_corpus_msr_498142,Hahaha..... CNBC team so funny........ make feel happy..... :) :) :),NAG,0
1740,facebook_corpus_msr_497718,Making so many educated peoples future dumping in mines ....,NAG,0
1744,facebook_corpus_msr_491444,"Interest in the stock mkts have fainted, how much more can a mkt move up with limited ppl earning",NAG,0
1745,facebook_corpus_msr_1710279,"Whatever this RM is honest, needs to make railways more efficient to improve the ratio.",NAG,0
1746,facebook_corpus_msr_1985363,Two  champions of cricket,NAG,0
1747,facebook_corpus_msr_465479,Nice to see CNBC TV 18 to Auranagabad.. talking to Rahul,NAG,0
1748,facebook_corpus_msr_339899,"50 heads was possible if your Dad would be a Cow. But unfortunately he was just a Soldier. Bjp Government doesn't get votes for Soldiers...
Sorry for your Father Sis..",NAG,0
1749,facebook_corpus_msr_483450,When successor performs better than the long term founding chairman!!!!! Result,NAG,0
1750,facebook_corpus_msr_1395853,Come on. Be quick & start.,NAG,0
1753,facebook_corpus_msr_335315,Good... People cannot have any opinion at all for 5 years,NAG,0
1755,facebook_corpus_msr_1804861,Han bhai chutiya hu me...i prefer humans over cows.... Development over rhetoric....facts over hoax....truth over media....and sleep over messing with u... Good night.,NAG,0
1764,facebook_corpus_msr_463518,"Congratulations for all of us,we proud of  that we are working with such orgnization",NAG,0
1765,facebook_corpus_msr_2175543,Proud moment for india,NAG,0
1767,facebook_corpus_msr_480882,weapons are not for display this are meant for fighting -defence minister sir,NAG,0
1769,facebook_corpus_msr_1679262,#Fabulous,NAG,0
1771,facebook_corpus_msr_1818446,She is Right .,NAG,0
1774,facebook_corpus_msr_2145862,Happy birthday. What a acting in Jolly LLB 2.,NAG,0
1775,facebook_corpus_msr_417015,BUY GLENMARK 872 AND MORE ON DECLINE NEAR 852 SL 828 TRADE ACORDINGLY IN FUTURE,NAG,0
1777,facebook_corpus_msr_426245,Ya remember at least you guys speak positive then market goes up and just one negative thing you can change the whole statistics . I guess remember Udayan Mukherjee,NAG,0
1782,facebook_corpus_msr_332718,"In the streets of Kolkata, bus drivers play the game of Tom n Jerry without caring about other motorists....most common among them is hit n run......",NAG,0
1783,facebook_corpus_msr_505758,"Jokes aside, it is a serious yet solvable issue...our aim was to help bring this to your notice...:)
Thanks for watching and Commenting Suvarna Kulkarni :)",NAG,0
1784,facebook_corpus_msr_487642,Can we expect next Thursday to be good for bull ?,NAG,0
1788,facebook_corpus_msr_454898,Its a big motorcycle for big towns and big dealers,NAG,0
1789,facebook_corpus_msr_1525107,"He is the same General, who gave a threat to all Kashmiris few days back.",NAG,0
1791,facebook_corpus_msr_2160855,The report found that Islamic State revenue has declined from up to $1.9 billion in 2014 to at most $870 million in 2016.,NAG,0
1798,facebook_corpus_msr_2261772,Long live this cuteness,NAG,0
1799,facebook_corpus_msr_1737145,All people are not fools as he or others promoting him think so,NAG,0
1800,facebook_corpus_msr_327902,"Why India Should #ScrapIndusWatersTreaty
Indus Water Treaty Is Illegal
The case of the 1960 Indus waters treaty, it has been signed by then Prime Minister Jawaharlal Nehru and “nowhere it is declared that the said agreement/treaty has been signed in the name of the President of India”, 
“According to the ministry of external affairs documents, nowhere disclosed agreement has been signed by the Jawaharlal Nehru for the President of India...,” 

“According to the impugned agreement 80% water goes to Pakistan which is a serious injury to the fundamental right of the citizens of India coupled with further financial and natural injuries to national interest.”

If We Indians Keep Quit Today Our Future Generations Will Blame Us And Never Going To Forgive Us

India Need Be Like China Fast And Furious And Must Have Ability To Say On Face.
China Claim South China Sea 
China Made And Develop 7 Artificial Man Made Islands On The South China Sea So Quickly 
Then Why Can't India Stop Water From Our Own States And Union Territories Of India
We Need To Build More Dam On Indus River And Must Have Iccha-Shakti To Say Only One Sentence To World Bank F*ck Off 
India Is Scraping Indus Waters Treaty

If China Can Do For Their Mother Land 
Then Why Not India (If India Cannot Do)
Then Their Is Some Serious Problem In Our Indian Government System With Our Political Partys And Also With Our Useless Politician.
Who Just Know To Bark But Cannot Take Action.

http://siteresources.worldbank.org/INTSOUTHASIA/Resources/223497-1105737253588/IndusWatersTreaty1960.pdf",NAG,0
1802,facebook_corpus_msr_1716159,It's between the devil and the deep blue sea.....Communalism or corruption... ? I,NAG,0
1804,facebook_corpus_msr_464067,It's common observation  of conversation was happening for long time.Unaccounted accumulated income will be sharing.,NAG,0
1806,facebook_corpus_msr_431173,"I thought the duty of politicians is to develop India and modi ji is doing it.. But what's sad news is that some parties opposing modiji..I wonder like, are these politicians working for India or for their party..",NAG,0
1807,facebook_corpus_msr_424163,It would be more appropriate to levy a fee to enter the bank's branch/ATM,NAG,0
1809,facebook_corpus_msr_1737163,It was a neutral video. News chaapne ke liye kuch bhi?,NAG,0
1812,facebook_corpus_msr_436490,"No BAN. This is not only for Tamil Nadu. Karnataka, Maharastra, Rajasthan other states are also facing Ban on their native cultural events.",NAG,0
1813,facebook_corpus_msr_461108,If u can't compete u hv no business to remain in the business. We r a democracy & an open economy,NAG,0
1820,facebook_corpus_msr_1805547,I,NAG,0
1823,facebook_corpus_msr_2203261,"Priyanka Sahai I'll ans you after little while, wait",NAG,0
1824,facebook_corpus_msr_483439,Ratan Tata saved Tata group before situation is worsening. Tata shares buying opportunity.,NAG,0
1827,facebook_corpus_msr_422289,"Good , evening sir , I m from UP . I have 1000 Shares of Rolta , can I hold for good return ?",NAG,0
1829,facebook_corpus_msr_328831,Prabhaas alone? Prabhas has done movies before baahubali. Credit goes to entire baahubali team including the director.,NAG,0
1831,facebook_corpus_msr_1805666,Is it ok being RSS Sevak to join any other party rather than BJP...,NAG,0
1832,facebook_corpus_msr_1805303,anna hazare is a hoe,NAG,0
1833,facebook_corpus_msr_461082,anuj y today psu banks didnt do much specially  sbi,NAG,0
1837,facebook_corpus_msr_411805,Hi Anuj what's your view on ceat tyre is it possible to hit 2000,NAG,0
1841,facebook_corpus_msr_2203248,She is simple girl and need not know politics. Let her vote to her choice.,NAG,0
1843,facebook_corpus_msr_417310,Could have migrated to BS4 in 2014 but govt was not ready with fuel: Pawan Goenka,NAG,0
1846,facebook_corpus_msr_331080,hindu  murdr  in  bngal   till thy  cular   no  frdom  for  hindu   in  bngal,NAG,0
1849,facebook_corpus_msr_495505,"If they've splurge before the olympics , we might hve seen different numbrs in medal tally... :)",NAG,0
1851,facebook_corpus_msr_470201,Now the income tax should be abolished or cut down to half...ppl will start celebrating,NAG,0
1854,facebook_corpus_msr_421102,I HAVE 4 LOT SHORT SELL IN ULTRATEC CEMNT 4000 RATE WHAT SHOUD I DO,NAG,0
1858,facebook_corpus_msr_1710260,"In last year’s Rail Budget, Railway minister Suresh Prabhu had said that the impact of the 7th Pay Commission would take the operating ratio to 92 per cent in 2016-17",NAG,0
1861,facebook_corpus_msr_463520,Great job...  Big Basket...  Good luck for the future,NAG,0
1863,facebook_corpus_msr_451507,Hi Anuj....is it the right time to enter into edelweiss financials,NAG,0
1867,facebook_corpus_msr_436741,"Smart work, rather than the hardwork, is required for leaders.",NAG,0
1868,facebook_corpus_msr_1805476,Anna is with Modi.,NAG,0
1869,facebook_corpus_msr_472648,". The predicted for Donald Trump.
. The US presidential election, Donald Trump, will bring perform be further difficulties, inconvenient. period of up to February 2017, is a threat for Trump . .Nearby people would distress, the risk of life. is intense rotation of stars.
. Expert knowledge hidden,Ghatib Ali Shad, Lahore Pakistan. ghatibastro@gmail.com",NAG,0
1872,facebook_corpus_msr_332720,WHO ISSUED  LICENSE  TO DRIVE  TO SUCH FOOLS. INDIA  NEEDS STRICT  DRIVING  LAWS,NAG,0
1874,facebook_corpus_msr_2160857,Dear News Channel please also show Who is Funding this ISIS SHITS.,NAG,0
1878,facebook_corpus_msr_436578,Nifty 8300 Jan put option stay till expiry or squre of before it.,NAG,0
1879,facebook_corpus_msr_443144,Cyrus Mistry files petition under Section 241 & 242 of Companies Act,NAG,0
1880,facebook_corpus_msr_2111255,very good joke,NAG,0
1885,facebook_corpus_msr_1804896,Not needed his approval..he has to look better in maharashtra ..lot of farmers are going for sucide every year!!! But he did not find any thing there.,NAG,0
1886,facebook_corpus_msr_436739,For that sake you make Tamil Nadu people protest like this.....,NAG,0
1887,facebook_corpus_msr_487734,"I have 3500 shares of HCC at 40/-
Your views, please?",NAG,0
1888,facebook_corpus_msr_426732,No speed fist they says will download movie in second,NAG,0
1889,facebook_corpus_msr_386093,Now Indian government has to take some risque about madarchod pakiatani,NAG,0
1890,facebook_corpus_msr_495466,Much deserved ?? I seriously fail to understand. What have the soldiers in the borders have not done that they are not being given even 0.1% of these rewards? Appreciable that athletes spend sleepless nights preparing for international matches and work for long number of years to achieve whatever they have achieved but there are some unsung heros who are fighting a REAL LIFE battle and they deserve much more.,NAG,0
1891,facebook_corpus_msr_431255,We are proud that u are our P.M. we are having   enemies inside our country.,NAG,0
